Node,A,B,C
2,0,20,0
4,0,0,40
5,0,0,20
6,0,0,40
10,20,0,0
11,40,0,0
12,0,20,0
16,0,0,40
17,0,0,20
19,40,0,0
20,40,0,0
22,0,40,0
24,0,0,40
28,40,0,0
29,40,0,0
30,0,0,40
31,0,0,20
32,0,0,20
33,40,0,0
34,0,0,40
35,40,0,0
37,40,0,0
38,0,20,0
39,0,20,0
41,0,0,20
42,20,0,0
43,0,40,0
45,20,0,0
46,20,0,0
47,35,35,35
49,35,70,35
50,0,0,40
55,20,0,0
56,0,20,0
58,0,20,0
59,0,20,0
60,20,0,0
62,0,0,40
63,40,0,0
64,0,75,0
66,0,0,75
68,20,0,0
69,40,0,0
70,20,0,0
71,40,0,0
73,0,0,40
74,0,0,40
75,0,0,40
77,0,40,0
79,40,0,0
80,0,40,0
82,40,0,0
83,0,0,20
84,0,0,20
85,0,0,40
86,0,20,0
87,0,40,0
88,40,0,0
90,0,40,0
92,0,0,40
94,40,0,0
95,0,20,0
96,0,20,0
98,40,0,0
99,0,40,0
100,0,0,40
102,0,0,20
103,0,0,40
104,0,0,40
106,0,40,0
107,0,40,0
109,40,0,0
111,20,0,0
112,20,0,0
113,40,0,0
114,20,0,0
